0.0003,0,-19.9997,20
0.0045,0.2009,-19.995,20
0.0152,0.5488,-19.9795,20
0.033,0.9023,-19.9497,20
0.0583,1.2605,-19.9047,20
0.0906,1.6205,-19.8446,20
0.1303,1.9805,-19.7693,20
0.1771,2.3407,-19.679,20
0.2311,2.7006,-19.5736,20
0.2924,3.0609,-19.453,20
0.3609,3.4213,-19.3172,20
0.4362,3.7808,-19.1666,20
0.5192,4.1405,-19.0007,20
0.6093,4.501,-18.8194,20
0.7062,4.8605,-18.6233,20
0.8106,5.22,-18.412,20
0.9224,5.5802,-18.1852,20
1.0411,5.9403,-17.9433,20
1.1672,6.3004,-17.6862,20
1.3004,6.6605,-17.4139,20
1.4408,7.0205,-17.1267,20
1.5883,7.3803,-16.8246,20
1.743,7.7401,-16.5077,20
1.9051,8.1001,-16.1758,20
2.0744,8.4603,-15.8292,20
2.2508,8.8204,-15.4682,20
2.4344,9.1803,-15.0932,20
2.6252,9.5403,-14.7043,20
2.8231,9.9003,-14.3019,20
3.0282,10.2601,-13.8866,20
3.2408,10.6202,-13.4584,20
3.4604,10.9803,-13.018,20
3.687,11.3401,-12.5665,20
3.9212,11.7,-12.1043,20
4.1624,12.0602,-11.6321,20
4.4106,12.42,-11.1516,20
4.6663,12.78,-10.6635,20
4.9291,13.14,-10.169,20
5.199,13.5,-9.6702,20
5.4761,13.8577,-9.1689,20
5.7562,13.9998,-8.6707,20
6.0362,13.9998,-8.1841,20
6.3162,13.9998,-7.7132,20
6.5963,13.9998,-7.2596,20
6.8761,13.9998,-6.8255,20
7.1561,13.9998,-6.4126,20
7.4362,13.9998,-6.023,20
7.7162,13.9998,-5.6595,20
7.9962,13.9998,-5.3249,20
8.2763,13.9998,-5.0222,20
8.5562,13.9998,-4.7552,20
8.8362,13.9998,-4.528,20
9.1153,13.951,-4.3454,20
9.3879,13.6324,-4.2137,20
9.6533,13.2724,-4.1376,20
9.9115,12.9124,-4.1194,20
10.1625,12.5525,-4.1613,20
10.4064,12.1925,-4.2655,20
10.6431,11.8325,-4.4344,20
10.8725,11.4725,-4.6702,20
11.0947,11.1126,-4.9754,20
11.3098,10.7525,-5.3524,20
11.5177,10.3925,-5.8035,20
11.7184,10.0324,-6.3306,20
11.9118,9.6725,-6.9357,20
12.098,9.3126,-7.6201,20
12.2771,8.9526,-8.3851,20
12.4489,8.5926,-9.2311,20
12.6136,8.2326,-10.1575,20
12.771,7.8725,-11.1629,20
12.9213,7.5129,-12.244,20
13.0647,7.169,-13.3986,20
13.2019,6.8606,-14.6258,20
13.3336,6.5846,-15.9269,20
13.4604,6.3367,-17.3032,20
13.5826,6.1138,-18.7555,20
13.7009,5.9132,-20.2845,20
13.8155,5.7328,-21.8907,20
13.9269,5.5709,-23.575,20
14.0355,5.4258,-25.3371,20
14.1414,5.2967,-27.1752,20
14.2451,5.1824,-29.0872,20
14.3466,5.0822,-31.069,20
14.4466,4.9953,-33.1179,20
14.545,4.9211,-35.2295,20
14.6421,4.8593,-37.3961,20
14.7384,4.8093,-39.6116,20
14.8338,4.7709,-41.8676,20
14.9286,4.7439,-44.1529,20
15.0233,4.7279,-46.4593,20
15.1177,4.7228,-48.7768,20
15.2123,4.7285,-51.0932,20
15.3072,4.7449,-53.3987,20
15.4026,4.7719,-55.6826,20
15.4988,4.8096,-57.9364,20
15.5959,4.8579,-60.1519,20
15.6943,4.9168,-62.3222,20
15.794,4.9865,-64.4387,20
15.8954,5.0669,-66.4966,20
15.9985,5.1583,-68.493,20
16.1038,5.2607,-70.4239,20
16.2112,5.3742,-72.2872,20
16.3212,5.4992,-74.0816,20
16.4339,5.6357,-75.8069,20
16.5496,5.7841,-77.464,20
16.6685,5.9446,-79.0536,20
16.7892,6.0345,-80.5654,20
16.9038,5.7279,-81.949,20
17.0111,5.3678,-83.1688,20
17.1113,5.0077,-84.2394,20
17.2042,4.6477,-85.1787,20
17.2901,4.2876,-86.0025,20
17.3686,3.9274,-86.7238,20
17.4399,3.5674,-87.3528,20
17.5041,3.2075,-87.8991,20
17.561,2.8475,-88.3702,20
17.6108,2.4877,-88.7725,20
17.6533,2.1278,-89.1112,20
17.6888,1.7672,-89.3909,20
17.7169,1.4068,-89.6147,20
17.7378,1.0468,-89.7847,20
17.7515,0.6868,-89.9036,20
17.7582,0.322,-89.9729,20
