0,0,179.4419,40
0.0097,0.2407,179.4485,40
0.0385,0.7201,179.4738,40
0.0865,1.2001,179.5201,40
0.1537,1.6801,179.5807,40
0.2401,2.1601,179.6487,40
0.3457,2.6401,179.7183,40
0.4705,3.1201,179.7855,40
0.6145,3.6001,179.848,40
0.7777,4.0801,179.9046,40
0.9601,4.5601,179.9549,40
1.1617,5.0401,179.9988,40
1.3825,5.52,180.0363,40
1.6225,6.0001,180.0674,40
1.8817,6.48,180.0921,40
2.1601,6.96,180.1098,40
2.4577,7.44,180.1193,40
2.7734,7.8933,180.1182,40
3.0934,7.9999,180.1017,40
3.4134,7.9999,180.0603,40
