0.0001,0,0,50
0.019,0.3772,0.0078,50
0.0752,1.1258,0.0383,50
0.169,1.8753,0.0979,50
0.3002,2.6253,0.184,50
0.4689,3.3751,0.2915,50
0.6752,4.125,0.4122,50
0.9168,4.8334,0.5316,50
1.1668,5.0002,0.6236,50
1.4169,5.0001,0.6631,50
1.6669,5.0001,0.6319,50
1.9169,5.0001,0.5102,50
2.1669,5.0001,0.2729,50
2.4169,5.0001,-0.1107,50
2.6669,5.0001,-0.6776,50
2.9169,5.0001,-1.471,50
3.1669,5.0001,-2.539,50
3.4169,5.0001,-3.9305,50
3.6669,5.0001,-5.687,50
3.9169,5.0001,-7.8314,50
4.1669,5.0001,-10.3525,50
4.4169,5.0001,-13.1922,50
4.667,5.0001,-16.2434,50
4.9169,5.0001,-19.365,50
5.167,5.0002,-22.4108,50
5.4193,5.0452,-25.0755,50
5.7006,5.625,-25.3377,50
6.0193,6.375,-24.9136,50
6.3755,7.1249,-24.4321,50
6.7692,7.8748,-23.8905,50
7.2004,8.6247,-23.2856,50
7.6692,9.3747,-22.6126,50
8.1753,10.1246,-21.8656,50
8.7191,10.8746,-21.0362,50
9.3004,11.6247,-20.1132,50
9.9189,12.3746,-19.0813,50
10.5752,13.1245,-17.9188,50
11.2622,13.7397,-16.6019,50
11.9523,13.7999,-15.1271,50
12.6233,13.4216,-13.5082,50
13.2568,12.6717,-11.7585,50
13.8529,11.9217,-9.8715,50
14.4115,11.1717,-7.8156,50
14.9327,10.4216,-5.5534,50
15.4162,9.6717,-3.0413,50
15.8623,8.9217,-0.2275,50
16.2709,8.1718,2.9454,50
16.643,7.4427,6.5409,50
16.9819,6.7766,10.6413,50
17.2911,6.1848,15.3527,50
17.5748,5.6734,20.797,50
17.8372,5.2474,27.1041,50
18.0827,4.9112,34.3811,50
18.3161,4.6684,42.653,50
18.5423,4.522,51.787,50
18.7659,4.474,61.4299,50
18.9922,4.5254,71.0628,50
19.226,4.6762,80.1707,50
